text,date,source,label
Saya sih setuju dengan orang ini. Bahwa rakyat menyumbang untuk program makan siang gratis. Karena saya memilih wakil rakyat di dpr. Nanti diwakili sumbangan saya yaaa. Sama wakil rakyat saya Sampaikan salam sama opa prabowo. Kalo ga ada anggarannya gausah janji2,2025-01-15 07:15:42+00:00,kaggle,negatif
Prabowo buktikan konsistensi lewat kunjungan program makan bergizi gratis,2025-02-11 09:28:07+00:00,kaggle,positif
MBG sarang koropsi,2026-01-22 11:58:22.509000+00:00,youtube,negatif
Sinergi yang menginspirasi antara Indonesia-Jepang! Makan bergizi gratis jadi wujud nyata investasi masa depan generasi muda SinergiIndonesiaJepang,2025-01-13 18:43:17+00:00,kaggle,positif
najis tengil nyo tengil nyo bocah stunting,2025-05-02 00:00:00+00:00,x,negatif
"pedih bangun pagi ni few weeks ago punya plan, bgn sabtu 3/5 & prepare nk watch semis with us playing tiba2 re-live memories match v Japan sedihhh",2025-05-02 00:00:00+00:00,x,netral
Program Makan Bergizi Gratis di Papua: Bukti Kepedulian Bukan Konspirasi ! papua indonesia prabowo sabotase sambo meksiko USAID,2025-02-09 01:34:54+00:00,kaggle,positif
"New Post: Kolaborasi dengan Pemkab Bangka Barat, PT Timah Gelar Makan Bergizi Untuk Siswa SLB Mentok makanbergizi pttimah slbnegerimentok sosial",2025-01-02 00:00:00+00:00,x,positif
kemarin ngobrol sama bapak2 penjual juz amma di braga tentang arsitektur dan makan siang gratis,2025-04-01 00:00:00+00:00,x,netral
Wakil Menteri Keuangan Suahasil menyampaikan anggaran MBG yg awalnya Rp 71 triliun naik jadi Rp 171 triliun makin dikritik makin tancap gas,2025-05-01 00:00:00+00:00,x,negatif
Nasi sudah menjadi bubur MBG,2025-05-03 00:00:00+00:00,x,negatif
"Iya kan mau berharap apa atuh, kesehatan dan pendidikan prioritas kedua kalah sama makan siang gratis",2025-02-01 00:00:00+00:00,x,negatif
Gimana gk marah setiap buka aplikasi isinya orang orang nyambat ditinggal setelah free sex masalah makan siang gratis muka jokowi ama gibran. Mau happy gimana coba,2025-01-28 03:55:51+00:00,kaggle,negatif
"Anak-anak sehat, bangsa kuat. Program Makan Bergizi Gratis hadir sebagai wujud nyata perhatian negara terhadap masa depan generasi muda. Dengan gizi yang merata, kita bersama menyiapkan langkah menuju Indonesia Emas 2045. MakanBergiziGratis DukungMBG PemerataanGizi",2025-05-01 00:00:00+00:00,x,positif
"Jahat banget orang yg gak dukung KB dan vasek Mereka itu lebih suka liat anak-anak yg stunting dan tidak hidup dg layak Lalu menyalahkan negara karena tdk merawat mereka Sementara para lelaki pemalas ini melanjutkan produksi anak, karena NEGARA AKAN MENANGGUNG HIDUPNYA",2025-05-02 00:00:00+00:00,x,negatif
Dprd anggaran kementerian/lembaga dipotong membiayai makan bergizi gratis yg tdk penting mending uang itu dipake utk program sekolah gratis bagi siswa/siswi yg tdk mampu lebih bermanfaat,2025-02-07 01:29:05+00:00,kaggle,negatif
Makan Bergizi Pajak ini memang idealnya dihentikan karena bukan sintesis tepat dari antitesis di lapangan. Tingkatkan ekonomi warga agar para orang tua mampu memberikan makanan bergizi plus buat anak-anak Indonesia berkemajuan.,2025-02-01 00:00:00+00:00,x,negatif
"Kalo dicerna, solusinya mudah loh, yang daerah 3T dibangunkan SPPG, yang di kota diserahkan di sekolah-sekolah, tinggal mau apa ngga nih njalanin ini",2026-06-21 14:55:17.632000+00:00,youtube,positif
"Klo uang korupsi e-ketapel bwt biayain program MBG,sepertinya bagus.",2025-02-01 00:00:00+00:00,x,positif
Nggak nyangka program MBG bawa dampak segitu kerennya buat tumbuh kembang anak,2025-05-02 00:00:00+00:00,x,positif
anjay kelazzzzz duttt makan siang gratis dutttt,2025-01-20 16:40:36+00:00,kaggle,positif
Izin bang Helmi sy mohon bantuan bang Helmi anak saya AG di dapur MBG selalu di intimasi mitra,2026-02-22 11:53:49.717000+00:00,youtube,netral
kasih MBG,2025-04-01 00:00:00+00:00,x,netral
Program Makan Bergizi bikin anak-anak di SD Jati 05 & TK 02 riang ceria Prabowo sapa langsung para penerima manfaat MakanBergiziBangunNegeri,2025-02-11 06:51:58+00:00,kaggle,positif
Negeri ini negeri yg kaya sumberdaya alamnya Negeri ini gak butuh makan gratis Negeri ini butuh : LAPANGAN KERJA PENDIDIKAN GRATIS KESEHATAN GRATIS LISTRIK MURAH BBM MURAH SEMBAKO MURAH LAUT YG GAK DI KAVLING OLIGARKI OTOMATIS ANAK2 KAMI AKAN MENIKMATI MAKANAN YG BERGIZI,2025-02-10 09:39:56+00:00,kaggle,negatif
Bupati Arifin Berharap Program MBG Bisa Ungkit Ekonomi Daerah,2025-05-04 00:00:00+00:00,x,positif
"Program Makan Bergizi Gratis membangun SDM unggul, sehat, dan berdaya saing. MakanBergiziGratis BangunSDMUnggul MajuBersama",2025-05-03 00:00:00+00:00,x,positif
Alhamdulillah mangkrak terimakasih pak Prabowo. Kita lebih butuh makan bergizi bukan ikn busuk,2025-02-07 07:35:28+00:00,kaggle,positif
"Sangat mengapresiasi niat program MBG ini, tapi tidak dengan eksekusinya. Dengan banyaknya kasus keracunan, ini fatal. Sudah seharusnya stop sementara waktu. Evaluasi menyeluruh. Cari cara yang lebih baik",2025-05-03 00:00:00+00:00,x,negatif
"Closed statemen dari bung media sangat berkelas, nice job bung.",2026-06-22 09:55:16.571000+00:00,youtube,positif
. masuk dalam menu unggulan makan bergizi gratis,2025-02-01 00:00:00+00:00,x,netral
Melihat perjalanan program makan siang gratis ini lama2 saya merasa dibegoin oleh Sisa2 pejabat bekas presiden Jokowi dan pemerintahan Pak Rasanya seperti kita yg diluar 58% dipaksa berkontribusi membiayai bansos untuk Wapres Magang mencalonkan diri sebagai Wapres di,2025-01-28 04:08:23+00:00,kaggle,negatif
Salut buat yang prioritaskan program makan bergizi gratis! Kolaborasi bareng Jepang ini bikin masa depan anak-anak Indonesia lebih cerah.,2025-01-13 10:16:14+00:00,kaggle,positif
Politisi yang memuakkan dengan narasi yang dibangun,2026-06-20 11:55:17.242000+00:00,youtube,negatif
Dukung makan sehat Program makanan bergizi gratis ini keren banget! Anak-anak sehat keluarga happy Indonesia maju! . MakanBergiziGratis,2025-02-10 07:12:11+00:00,kaggle,positif
"Negara kalo mau stop MBG karena beban APBN nya gede yauda stop aja lah, kasian orang2 diracunin mulu. Kalo serius MBG, kalo kasus keracunan mah ditangkap cateringnya, bisa perdata atau pidana, bukan cuma didiemin aja.",2025-05-01 00:00:00+00:00,x,negatif
Setelah Makan Bergizi Gratis Cek Kesehatan Gratis Jadi Quick Wins Kedua Pemerintahan Prabowo-Gibran,2025-02-11 04:30:00+00:00,kaggle,netral
Presiden Prabowo optimis program makan bergizi gratis memiliki dampak positif terhadap perekonomian Indonesia PenuhiGiziIndonesia MakanBergiziGratis,2025-02-02 04:01:29+00:00,kaggle,positif
"keinget kmrn debat ama temen penyevong prabroro tentang mbg yang ga bener, indonesia gelap, ikn ilang gue dikatain sotoy, indonesia gelap karna gue, bla blabla bacot, anak abah, kebanyakan main x trus pas masalah efisiensi & demo si doi malah ngomong ""ga peduli ama politik",2025-03-01 00:00:00+00:00,x,negatif
"Bisa aja gak miskin. Asal pendidikan anak2 free. Makan siang gratis berlaku ke seluruh penduduk indonesia dgn menu cukup, transportasi umum dimana2 n free. Ga dibebanin pajak ini itu, akses fasum mudah n gratis. Jd 20rb pengeluaran utk beli jajan2 aja.",2025-04-01 00:00:00+00:00,x,netral
tugas gibran cuma ke kampus kampus untuk liat menu makan bergizi gratis,2025-01-24 13:26:58+00:00,kaggle,netral
Tutup semuanya aja buang buang anggaran saja,2026-06-13 00:41:44+00:00,instagram,negatif
"Sesudah MBG terbitah nikel, right?",2025-03-01 00:00:00+00:00,x,netral
Knp BGN tdk kerjasama dg perusahaan2 makanan yg sdh berstandar ISO 22000 & punya kualifikasi HACCP?,2025-05-02 00:00:00+00:00,x,negatif
Wkwkwk Ya kalo pake duit dia sendiri mah ngapain repot repot jadi presiden buat makan siang gratis,2025-02-10 17:44:30+00:00,kaggle,negatif
"Fakta unik Makan Bergizi pajak rakyat Indonesia Gratis ( MBG ) 0:11 di Papua pegunungan cuma punya 13 Satuan Pelayan Pemenuhan Gizi ( SPPG ) padahal tingkat STUNTING nya 40% ( PERSEN ) . 0:21 di Sulawesi Barat cuma ada 177 SPPG dan STUNTING NYA 35% . 0:23 Jawa Barat punya 6.357 SPPG padahal STUNTING NYA 15% . 0:37 mereka ngaku sendiri pelaksanaan tidak tetap karena banyak di kota . 0:42 STUNTING cuma ada di 3T ( Wilayah yang Tertinggal , Terdepan dan Terluar yang harus di perhatikan oleh negara karena . Tertinggal artinya daerah banyak orang miskin , daerah yang susah di hubungi, daerah mudah kena bencana alam dan susah dapat air bersih . Terdepan artinya daerah yang berbatasan langsung dengan negara lain baik . Terluar seusai artinya daerah perbatasan Indonesia dari sanbang ke Merauke alias daerah batas Indonesia )",2026-06-22 10:56:03.689000+00:00,youtube,negatif
ini dia makan siang bergizi gratis yang sebenarnya,2025-02-10 07:09:45+00:00,kaggle,negatif
Gibran Pantau Makan Bergizi Gratis Lagi di SMA Netizen Pertanyakan Jobdesk Wapres: Gini-gini Doang?,2025-02-08 17:49:40+00:00,kaggle,negatif
MBG aja yang di Kaji brooo,2025-05-02 00:00:00+00:00,x,negatif
"Malam! Berdasarkan data, program Makan Bergizi Gratis (MBG) telah menjangkau sekitar 2,4-3,2 juta murid hingga Mei 2025, dari target 15,5 juta siswa tahun ini. Soal murid sakit, ada laporan keracunan di beberapa daerah seperti Cianjur dan Bandung, tapi persentase pastinya belum jelas, kemungkinan kecil tapi perlu perhatian. Untuk ketepatan sasaran, ada tantangan distribusi, terutama di daerah terpencil, namun persentase yang tidak tepat sasaran belum terdata secara spesifik. Program ini masih dievaluasi untuk perbaikan.",2025-05-04 00:00:00+00:00,x,netral
"Suruh makan MBG biar pada pinter, mikirin keuntungan loe pada pea' ngga pauaskah keuntungan kalian??? Tmak bener jadi manusia",2026-06-19 14:24:16+00:00,instagram,negatif
"Makan Bergizi Gratis Diyakini Bisa Menggerakkan Ekonomi, Ini Kata Luhut",2025-05-01 00:00:00+00:00,x,positif
Program MBG yang di paksakan,2025-02-01 00:00:00+00:00,x,negatif
Tidak ada keraguan Makan siang gratis adalah wujud kolaborasi pendidikan kesehatan dan pemberdayaan masyarakat yang sangat positif . MakanSehatGratis,2025-02-10 07:47:24+00:00,kaggle,positif
Kalau bisa merata makan bergizi gratis bakal jadi solusi nyata pemenuhan gizi PenuhiGiziIndonesia,2025-01-17 15:05:42+00:00,kaggle,positif
Makan bergizi gratis untuk nopdi,2025-05-02 00:00:00+00:00,x,netral
"Saya rasa lebih bijak lagi .kalau dana mbg tersebut di berikan langsung ke orang tua siswa,lebih afdolll",2026-01-22 11:58:23.265000+00:00,youtube,negatif
Mungkin subsudinya dikurangi karena butuh dana untuk ambisi makan siang gratis itu pilihan mereka kemaren yg dibarter dgn sembako jadi mari nikmati sambil joget oke gazz,2025-02-01 12:28:17+00:00,kaggle,negatif
DEMI PROGRAM MAKAN GRATIS SEMUA DIPANGKAS. BENAR2 SAKIT JIWA,2025-02-06 01:16:00+00:00,kaggle,negatif
Kasih makan siang gratis bun biar seneng,2025-02-08 12:34:42+00:00,kaggle,positif
"ak mimpi ada zombi gais, udah bgn juga tetep lanjut mimpinya [CRY]",2025-05-03 00:00:00+00:00,x,netral
Menurut Seskab Mayor Teddy Pak Presiden mendadak ingin mengecek pelaksanaan Makan Bergizi Gratis ke SD Negeri 05 Jati dan TK Negeri 02 dan dapurnya di Pulo Gadung Jakarta Timur. .,2025-02-03 05:15:15+00:00,kaggle,netral
nih butuh duit kan pak buat makan siang gratis? gandain duit sama dia aja,2025-02-10 22:47:34+00:00,kaggle,negatif
Presiden RI Jenderal TNI (Purn.) H. Prabowo Subianto telah menginisiasi program ketahanan pangan nasional dan makan bergizi gratis (MBG) melalui program Asta Cita.SukseskanAstaCita,2025-02-10 07:38:54+00:00,kaggle,positif
"Padahal sdh bolak balik kejadian, koq nggak distop sj program mbg ini??",2025-05-01 00:00:00+00:00,x,negatif
Presiden RI Jenderal TNI (Purn.) H. Prabowo Subianto telah menginisiasi program ketahanan pangan nasional dan makan bergizi gratis (MBG) melalui program Asta Cita. Untuk mendukung terwujudnya program-program tersebut Kapolri,2025-02-10 10:43:38+00:00,kaggle,positif
"Klo tujuannya murni utk program Makan Siang Gratis ya idealnya memang spt itu. Cari cara yg paling simple dan hemat. Tp ini kan proyek. Jd pertanyaan ""kenapa"" yg sdh pernah jg ditanyakan banyak ahli sebelumnya, ga ada guna. Biar aja dia berantakan sendiri",2025-05-04 00:00:00+00:00,x,negatif
Blom lama ini program MBG udah masuk angin,2025-02-01 00:00:00+00:00,x,negatif
red bull ikn makan siang gratis mana gas?,2025-02-09 14:08:49+00:00,kaggle,negatif
Bergizi untuk semua Langkah pemerintah yang luar biasa makan siang gratis membantu menciptakan generasi yang sehat dan cerdas . MakanSiangGratis,2025-02-10 07:12:17+00:00,kaggle,positif
Pemerintah berkomitmen meningkatkan gizi generasi muda melalui Program Makan Bergizi Gratis MakanBergiziGratis GenerasiCerdas IndonesiaEmas2045 KemandirianBangsa SelamatHariPersNasional,2025-02-10 04:44:01+00:00,kaggle,positif
Saya pikir tadinya makan bergizi gratis itu akan secara terus menerus dengan kata lain tiap hari eh salah perkiraan saya,2025-02-10 13:31:07+00:00,kaggle,netral
"92,7 Persen Calon Pengantin di Lotim Berisiko Lahirkan Anak Stunting",2025-05-03 00:00:00+00:00,x,netral
"huft mhs luar jkt cant relate, aku contohnya. iri bgt sm jkt yg semua model transum ada pdhl dl ad capres yg mau bangun 40 kota setara jkt tp yg dipilih yg mbg",2025-05-02 00:00:00+00:00,x,negatif
Presiden RI Prabowo Subianto meminta anggaran daerah yang telah dialokasikan untuk program Makan Bergizi Gratis (MBG) dialihkan dan difokuskan bagi perbaikan fasilitas sekolah. | Prabowo TitoKarnavian MBG,2025-02-03 09:46:46+00:00,kaggle,netral
OHHH INI MBG ALHUR,2025-03-01 00:00:00+00:00,x,netral
Fix . Prabowo kekurangan duit buat bayar utang beserta bunga warisan Mulyono. Ditambah anggaran makan siang gratis yg pee hari capai 800 M. nb. kebetulan sy vendor atk di beberapa instansi pem mereka sangat worry,2025-02-04 13:33:16+00:00,kaggle,negatif
"Sudah banyak yang jadi korban loh Pak, apa menunggu sampai ada siswa yang mati Pak untuk mengevaluasi Program MBG?",2025-05-01 00:00:00+00:00,x,negatif
"Komandan Korem atau Danrem 032/Wirabraja Brigadir Jenderal TNI Machfud menyebutkan, Komando Resort Militer atau Korem 032 Wirabraja menyiapkan dapur umum Makan Bergizi Gratis (MBG) di Batalyon 133/Yudha Sakti yang saat ini proses pembangunannya tahap penyelesaian, Jumat (2/5) siang. Mtf BeritaElshinta",2025-05-02 00:00:00+00:00,x,netral
Polri membuka rekrutmen khusus bagi personel yang memiliki keahlian di bidang pertanian gizi dan kesehatan masyarakat. Langkah ini bertujuan untuk memperkuat peran Polri dalam mendukung program makan bergizi gratis serta mewujudkan swasembada pang,2025-02-10 07:47:20+00:00,kaggle,netral
"Babinsa Pagerharjo Koramil 04/Samigaluh Kodim 0731/Klp Sertu Dawam, Jumat (2/5/2025), membantu pendistribusian makan bergizi gratis, yang dikelola Dapur Mandiri CV Titisari Boga Utama di Padukuhan Jetis, Gerbosari, Samigaluh ke sekolah penerima program MBG di Kalurahan Pagerharjo",2025-05-02 00:00:00+00:00,x,netral
engga yaaaaa infokan makan siang gratis,2025-03-01 00:00:00+00:00,x,netral
"Kalopun bukan ini, masih ada program 03 yg 1 rumah 1 sarjana. Eh lebih banyak org yg tergiur sama makan bergizi gratis yang ternyata malah ga bergizi itu ck20x",2025-05-03 00:00:00+00:00,x,negatif
Makan bergizi gratis sejalan dengan program global tujuan pembangunan berkelanjutan atau sustainable development goals,2025-03-01 00:00:00+00:00,x,positif
"Setuju juga bang gua sepemikiran sma luu karna adanya kantin sekolah yang tinggal di ganti jdi tmpat dapur makan siang bergizi gratis itu bisa menghemat semuanya dri efisiensi, kecepatan, jangkauan sama kelayakan makanan yang udh pasti ga nunggu lama karna sekolah yang di tuju cuma itu Dan yang belum ada kantinnya, tetep aja pake cara awal pake vendor trus di gabung jadi 1 untuk di antar ke masing² sekolah mungkin dengan batasan 1 dapur untuk 5-7 sekolah. Agar ga terjadi makanan basi dll",2025-06-22 11:53:10.477000+00:00,youtube,positif
Bahkan kelompok oposisi yg sampe harus bikin posko pengaduan MBG :( sementara kaum silent majority tetep silent sampe sekarang. Gak peduli dengan Makan Beracun Gaguna itu.,2025-05-03 00:00:00+00:00,x,negatif
Sekali nelpon nenek lgsng bahas tukin di potong makan gratis presiden terlanjur malu dll. Berat bngt wkwkwkwk. Cuman sebentar krna mau solat.,2025-02-09 11:19:15+00:00,kaggle,negatif
"Siaran Pers Itwasum Polri Kunjungan Asian Development Bank, antara Rasa, Gizi dan Keamanan Makanan di SPPG Polri",2025-05-01 00:00:00+00:00,x,netral
"Panglima TNI mengerahkan 351 Komando Distrik Militer (Kodim), 14 Pangkalan Utama TNI Angkatan Laut (Lantamal) dan 41 Pangkalan TNI Angkatan Udara (Lanud) untuk mendukung program makan bergizi gratis (MBG).",2025-02-01 00:00:00+00:00,x,netral
Kayak ga punya kekuasaan banget ya atau lg pusing mikiran makan siang gratis yg dananya lg ruwet itu kali ya sebaiknya reshuffle saja,2025-01-17 02:33:48+00:00,kaggle,negatif
UMKM pangan bersinar di era makan bergizi gratis pertumbuhan ekonomi makin terjaga. MBGDorongEkonomi,2025-01-31 15:45:13+00:00,kaggle,positif
Kalau gemoynya sama maka jangan-jangan bisalah gratisan listrik air dan gas bukankah sudah mulai juga dari makan bergizi gratis?,2025-02-10 06:22:47+00:00,kaggle,netral
Melihat besarnya anggaran untuk program makan bergizi gratis tidak menutup kemungkinan blokirannya dibuka dimasa akhir jabatan prabowo.,2025-02-08 11:09:50+00:00,kaggle,negatif
Maybe the real makan siang gratis was the friends we made along the way,2025-02-10 15:09:58+00:00,kaggle,netral
Ketika anggaran berbagai kementerian dan lembaga dipotong program Makan Bergizi Gratis atau MBG justru mendapat tambahan. Menuruti keinginan Presiden Prabowo. jelasindong,2025-02-09 13:30:00+00:00,kaggle,negatif
"Karena masalah kecil, ketika viral semua pada ""teriak"" supaya programnya diberhentikan, disaat tidak melihat daerah lain yang anaknya bersyukur atas adanya program makan siang gratis ini. Tidak semua yang di up di media itu merepresentasikan 100% apa yang terjadi dilapangan",2025-05-04 00:00:00+00:00,x,positif
ini program mbg kah,2025-03-01 00:00:00+00:00,x,netral
Program makan gratis tuh harusnya kalo mau jangan dari program Presiden tapi amanat Per-UU. Kalo wowo cuman 5 taun next presiden ga mau lanjutin gimana? Kan sia-sia buang-buang duit doang wo yakali makan gratis 5 taun doang SD aja 6 taun.,2025-02-04 23:25:06+00:00,kaggle,negatif
"Ketemu saudara yang punya katering pemasok MBG. Pembayarannya selalu molor. Ditahan2 dengan banyak ""katebelece"" Those who have power are more likely to corrupt",2025-04-01 00:00:00+00:00,x,negatif
Ya fokusnya lagi ke makan siang gratis,2025-05-03 00:00:00+00:00,x,netral
Makan bergizi untuk semua Dengan makan siang gratis anak-anak lebih semangat belajar dan orang tua merasa terbantu secara finansial . MakanSehatGratis,2025-02-10 08:32:53+00:00,kaggle,positif
Masa depan lebih cerah menanti lewat dukungan untuk MBG Prabowo di lima daerah,2025-05-03 00:00:00+00:00,x,positif
"Gibran Rakabuming Raka, Wapres RI, tak sepenuhnya ""terbodoh"" meski ada kritik. Rating approvalnya tinggi, 80,9% (Kompas, Jan 2025), didukung program makan gratis. Namun, ia kerap dianggap menghindar dari wartawan ( Feb 2025) dan ada gaffe masa kampanye. Usia muda dan dugaan nepotisme (anak Jokowi) jadi kontroversi, tapi ia aktif kunjungi rakyat (ANTARA, Jan 2025). Kritik lebih ke pengalaman dan komunikasi, bukan kompetensi total.",2025-04-01 00:00:00+00:00,x,netral
"Semoga Lanjutkan MBG bisa cepet berbenah dan pastiin semua produk aman, biar gak ada lagi yang ngerasain hal kayak gini.",2025-05-01 00:00:00+00:00,x,positif
Padahal tidak ada ujaran kebencian cuma kata² kritik biasa gitu loh sambil tag Prabowo Gibran Gerindra dll soal projek makan siang Bergizi gratis eh mlah di ban komentar katanya Kritiknya terlalu keras pdhl disitu gda kata toxic pure masukan 1-2 hari balik eh besok di ban lg,2025-01-17 13:15:36+00:00,kaggle,negatif
Saham 51% Freeport yang sudah didapatkan dan dipuji-puji harusnya bisa membiayai makan bergizi anak sekolah,2025-01-02 00:00:00+00:00,x,positif
Yang masak kalau ga di bayar mana mau hari gini time is money waktu adalah uang ga ada makan siang gratis kecuali ada udang dibalik bakwan. Mana ada orang ujug2 datang masak artis lagi tanpa di bayar pencitraaan masih berlanjut sampai akhir hayat,2025-02-09 04:03:07+00:00,kaggle,negatif
Dengan adanya program makan siang bergizi gratis anak-anak sekolah kini bisa menikmati makanan sehat setiap hari. Terima kasih kepada pemerintah Prabowo-Gibran yang peduli akan masa depan generasi penerus bangsa.,2025-02-11 04:03:46+00:00,kaggle,positif
kwkwkw gue yakin si pak Jkw kaget ternyata impiannya dihentikan yang jalan adalah makan siang gratis seindonesia,2025-02-09 10:47:14+00:00,kaggle,netral
"*Rakyat bersama TNI melaksanakan tugas negara.* *Prajurit TNI peduli: Makan bergizi untuk anak sekolah, sehat dan cerdas* tniad dispenad puspentni TNIindonesia kodam14hasanuddin korem141toddopuli",2025-04-01 00:00:00+00:00,x,positif
Danrem 071/Wijayakusuma tinjau langsung dapur makan bergizi gratis untuk warga di Banjarnegara. Aksi nyata TNI bantu masyarakat wujudkan ketahanan pangan dan gizi seimbang! Danrem071 Banjarnegara DapurGratis MakanBergizi TNIUntukRakyat AksiTNI BeritaTerkini,2025-05-01 00:00:00+00:00,x,positif
Kemendikdasmen dan Badan Gizi Nasional Perkuat Program Makan Bergizi Gratis Untuk Siswa,2025-04-01 00:00:00+00:00,x,positif
Kebaikan untuk semua! Program Makan Bergizi Gratis dari Prabowo-Gibran untuk Indonesia sehat. MakanBergiziGratis PenuhiGiziIndonesia,2025-01-27 05:59:39+00:00,kaggle,positif
Ketua MPR RI Ahmad Muzani menyampaikan berbagai respons masyarakat terhadap kebijakan pemerintah termasuk Program Makan Bergizi Gratis (MBG). Hal ini dia sampaikan usai menemui Presiden Prabowo Subianto di Istana Negara Jakarta Pusat Senin (3/2). Kami juga banyak,2025-02-04 12:00:00+00:00,kaggle,netral
Efek utang jatuh tempo dari pemerintah sebelumnya ditambah janji pemerintah sekarang dengan program makan siang gratis disaat anggaran lagi defisit.,2025-02-08 13:00:07+00:00,kaggle,negatif
"Makan bergizi, tumbuh optimal! ProgramMBG IndonesiaEmas MakanBergiziGratis AnakBangsa",2025-04-01 00:00:00+00:00,x,positif
Makan siang gratis di iceeee,2025-05-04 00:00:00+00:00,x,netral
"Pajak kita semua tdk berarti bhkn utk biaya makan bergizi gratis anak cucu di Sekolah jd jgn bnyk nuntut dr pemerintah aplg tdk ikut pilih, jd tunggu sj 2029 usul Puan atau GP lg hhh.",2025-02-01 00:00:00+00:00,x,netral
Ternyata gak kaleng² isinya nasi putih sepotong ayam bakar sambal kriuk selada timun & daun kol juga masih diberi segelas air mineral cuma 11.655 rupiah udah dianter pula Lebih enak dari menu makan bergizi gratis deh Makasih GO-JEK Cc presiden,2025-02-02 17:32:22+00:00,kaggle,netral
"Dapat Makan Siang Gratis. Jawaban candaan saya, setiap kali ditanya dapat apa dari RUPS dan Public Expose? Dulu follower akun ini, cuma teman dan kenalan. Masih 2-3ribu, sekarang lebih banyak follower. Makin besar tanggung jawabnya. Perlu lebih berhati-hati.",2025-05-01 00:00:00+00:00,x,netral
Makanan bergizi tersedia Program makan siang gratis adalah bentuk nyata perhatian pemerintah terhadap kesehatan dan pendidikan anak-anak . MakanSiangGratis,2025-02-10 07:45:48+00:00,kaggle,positif
"Makan Bergizi Gratis Tetap Berjalan Selama Puasa, Begini Konsepnya!",2025-03-01 00:00:00+00:00,x,positif
Bang saya siap kerja hapus hapusin komen judol,2025-06-22 11:53:11.348000+00:00,youtube,netral
di dunia ini gada yg gratis ya gusy makan bergizi gratis aja mengorbankan banyak hal,2025-02-10 13:32:33+00:00,kaggle,negatif
Makan Bergizi Gratis Jadi Alasan Masyarakat Puas Dengan Kinerja 100 Hari Pemerintahan Prabowo KerjaNyata100Hari PrabowoGibran,2025-02-10 03:48:06+00:00,kaggle,positif
Itu namanya STUNTING. Dan orang stunting itu rata rata lulusan sarjana,2025-05-03 00:00:00+00:00,x,netral
"Keren bgn,kompak selalu gayss",2025-05-02 00:00:00+00:00,x,positif
